iter	Passed	Remaining
0	0	55
1	1	49
2	1	46
3	1	41
4	2	40
5	2	39
6	2	38
7	3	37
8	3	36
9	4	36
10	4	35
11	5	37
12	5	36
13	5	35
14	6	35
15	6	35
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	31
23	9	31
24	10	31
25	10	30
26	11	30
27	11	29
28	11	29
29	12	29
30	12	28
31	13	28
32	13	27
33	14	27
34	14	27
35	15	26
36	15	26
37	15	25
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	21
47	19	21
48	20	21
49	20	20
50	20	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	18
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	25	15
62	25	15
63	26	14
64	26	14
65	27	13
66	27	13
67	28	13
68	28	12
69	28	12
70	29	12
71	29	11
72	30	11
73	30	10
74	31	10
75	31	10
76	32	9
77	32	9
78	33	8
79	33	8
80	33	7
81	34	7
82	34	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	40	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
